household_id,child_id,child_unique_id,child_age,child_gender,ar11,mother_pid14,mother_pidlink,mother_age
0051351,3.0,005135103,2.0,1:Male,2.0,2.0,005135102,19.0
0051431,4.0,005143104,4.0,1:Male,2.0,2.0,005140003,40.0
0051441,4.0,005144104,2.0,3:Female,2.0,2.0,005140005,32.0
0051442,4.0,005144204,3.0,1:Male,2.0,2.0,005140006,30.0
0051442,5.0,005144205,0.0,1:Male,2.0,2.0,005140006,30.0
0051451,6.0,005145106,3.0,1:Male,3.0,3.0,005145103,28.0
0051641,6.0,005164106,4.0,3:Female,2.0,2.0,005160003,32.0
0051642,4.0,005164204,4.0,1:Male,2.0,2.0,005160004,30.0
0051741,4.0,005174104,0.0,3:Female,3.0,3.0,005174103,27.0
0051852,3.0,005185203,4.0,1:Male,2.0,2.0,005185202,27.0
0060341,4.0,006034104,0.0,3:Female,2.0,2.0,006034102,37.0
0060342,4.0,006034204,3.0,1:Male,2.0,2.0,006034202,26.0
0060411,3.0,006041103,3.0,1:Male,2.0,2.0,006041102,37.0
0060441,6.0,006044106,3.0,1:Male,2.0,2.0,006040005,31.0
0060441,7.0,006044107,1.0,1:Male,2.0,2.0,006040005,31.0
0060800,8.0,006080008,4.0,3:Female,3.0,,,
0060841,6.0,006084106,1.0,1:Male,5.0,5.0,006084105,30.0
0060842,4.0,006084204,3.0,3:Female,2.0,2.0,006080004,29.0
0060941,4.0,006094104,4.0,1:Male,2.0,2.0,006090003,29.0
0060942,3.0,006094203,0.0,3:Female,2.0,2.0,006094202,25.0
0060951,4.0,006095104,4.0,1:Male,2.0,2.0,006090004,27.0
0061041,3.0,006104103,4.0,3:Female,2.0,2.0,006104102,26.0
0061041,4.0,006104104,1.0,1:Male,2.0,2.0,006104102,26.0
0061141,4.0,006114104,3.0,1:Male,2.0,2.0,006110005,31.0
0061251,6.0,006125106,0.0,1:Male,3.0,3.0,006125103,18.0
0061451,3.0,006145103,2.0,3:Female,2.0,2.0,006145102,27.0
0061741,5.0,006174105,2.0,1:Male,2.0,2.0,006174102,34.0
0061751,3.0,006175103,3.0,3:Female,2.0,2.0,006170005,28.0
0061900,9.0,006190009,2.0,3:Female,5.0,5.0,006190005,24.0
0061900,10.0,006190010,0.0,1:Male,5.0,5.0,006190005,24.0
0061931,5.0,006193105,4.0,3:Female,2.0,2.0,006190006,37.0
0061951,4.0,006195104,0.0,1:Male,2.0,2.0,006190004,29.0
0062000,7.0,006200007,2.0,1:Male,5.0,5.0,006200005,21.0
0062051,3.0,006205103,1.0,1:Male,2.0,2.0,006205102,35.0
0070351,5.0,007035105,3.0,3:Female,2.0,2.0,007030005,32.0
0070351,6.0,007035106,0.0,1:Male,2.0,2.0,007030005,32.0
0070451,3.0,007045103,4.0,1:Male,2.0,2.0,007045102,34.0
0070451,4.0,007045104,2.0,3:Female,2.0,2.0,007045102,34.0
0070451,5.0,007045105,0.0,3:Female,2.0,2.0,007045102,34.0
0070641,5.0,007064105,2.0,3:Female,2.0,2.0,007060003,25.0
0070642,2.0,007064202,0.0,1:Male,1.0,1.0,007060004,23.0
0071351,4.0,007135104,2.0,1:Male,2.0,2.0,007130004,30.0
0071431,9.0,007143109,4.0,3:Female,3.0,3.0,007140004,32.0
0071431,10.0,007143110,0.0,3:Female,3.0,3.0,007140004,32.0
0071631,10.0,007163110,3.0,3:Female,1.0,1.0,007160004,32.0
0071651,3.0,007165103,1.0,3:Female,2.0,2.0,007165102,25.0
0071851,3.0,007185103,3.0,1:Male,2.0,2.0,007185102,22.0
0071851,4.0,007185104,2.0,3:Female,2.0,2.0,007185102,22.0
0071851,5.0,007185105,0.0,3:Female,2.0,2.0,007185102,22.0
0071852,5.0,007185205,3.0,3:Female,4.0,4.0,007180004,32.0
0072300,9.0,007230009,0.0,1:Male,10.0,10.0,007230010,28.0
0072331,5.0,007233105,3.0,1:Male,2.0,2.0,007233102,41.0
0072451,4.0,007245104,3.0,1:Male,2.0,2.0,007240005,30.0
0072651,5.0,007265105,3.0,1:Male,2.0,2.0,007260003,27.0
0072851,3.0,007285103,4.0,1:Male,2.0,2.0,007280005,33.0
0072851,4.0,007285104,1.0,3:Female,2.0,2.0,007280005,33.0
0080141,4.0,008014104,4.0,1:Male,2.0,2.0,008014102,30.0
0080151,3.0,008015103,0.0,3:Female,2.0,2.0,008010005,23.0
0080431,6.0,008043106,1.0,1:Male,2.0,2.0,008043102,35.0
0080441,5.0,008044105,4.0,3:Female,2.0,2.0,008044102,30.0
0080500,8.0,008050008,4.0,3:Female,5.0,,,
0080551,3.0,008055103,0.0,1:Male,2.0,2.0,008050005,23.0
0080742,5.0,008074205,2.0,3:Female,2.0,2.0,008070005,30.0
0080831,4.0,008083104,3.0,3:Female,2.0,2.0,008080003,34.0
0080841,4.0,008084104,1.0,3:Female,2.0,2.0,008080004,33.0
0080851,3.0,008085103,2.0,1:Male,2.0,2.0,008085102,21.0
0080942,5.0,008094205,4.0,1:Male,2.0,2.0,008094202,29.0
0080952,4.0,008095204,1.0,3:Female,2.0,2.0,008090008,23.0
0081000,7.0,008100007,3.0,3:Female,6.0,6.0,008100006,31.0
0081000,8.0,008100008,1.0,1:Male,6.0,6.0,008100006,31.0
0081100,10.0,008110010,1.0,1:Male,7.0,7.0,008110007,19.0
0081152,3.0,008115203,1.0,1:Male,2.0,2.0,008110005,23.0
0081251,3.0,008125103,0.0,1:Male,2.0,2.0,008125102,27.0
0081252,3.0,008125203,2.0,3:Female,2.0,2.0,008120005,24.0
0081253,3.0,008125303,0.0,1:Male,2.0,2.0,008120006,22.0
0081300,7.0,008130007,4.0,1:Male,4.0,4.0,008130004,25.0
0081300,8.0,008130008,1.0,1:Male,5.0,5.0,008130005,17.0
0081442,4.0,008144204,1.0,1:Male,2.0,2.0,008140005,31.0
0081451,3.0,008145103,0.0,1:Male,2.0,2.0,008145102,22.0
0081541,5.0,008154105,2.0,1:Male,2.0,2.0,008150004,34.0
0081551,4.0,008155104,0.0,1:Male,2.0,2.0,008150005,28.0
0081552,3.0,008155203,4.0,3:Female,2.0,2.0,008150008,23.0
0081552,4.0,008155204,0.0,3:Female,2.0,2.0,008150008,23.0
0081600,8.0,008160008,3.0,3:Female,4.0,4.0,008160004,42.0
0081700,9.0,008170009,4.0,1:Male,6.0,6.0,008170006,33.0
0081731,5.0,008173105,3.0,3:Female,2.0,2.0,008170003,38.0
0082041,5.0,008204105,3.0,3:Female,2.0,2.0,008200003,27.0
0082052,5.0,008205205,0.0,1:Male,3.0,3.0,008200005,20.0
0082100,12.0,008210012,4.0,1:Male,4.0,4.0,008210004,28.0
0082100,13.0,008210013,3.0,1:Male,4.0,4.0,008210004,28.0
0082200,7.0,008220007,0.0,1:Male,6.0,6.0,008220006,21.0
0082252,3.0,008225203,2.0,1:Male,2.0,2.0,008220004,27.0
0082253,3.0,008225303,1.0,1:Male,2.0,2.0,008225302,23.0
0082341,5.0,008234105,2.0,1:Male,2.0,2.0,008234102,39.0
0082431,3.0,008243103,2.0,3:Female,2.0,2.0,008240004,38.0
0082451,4.0,008245104,4.0,1:Male,2.0,2.0,008240007,35.0
0082500,7.0,008250007,0.0,1:Male,2.0,2.0,008250002,42.0
0082651,3.0,008265103,3.0,1:Male,2.0,2.0,008260005,34.0
